Cinciniti,Philadelphia,Louisville,San Francisco,Washington DC,NYC,Los_anglese,Kansas city (MO),Pittsburgh,Boston,San Diego,New Orleans
"Metal Furniture, Spec Collectn",Information Request,HIGH GRASS WEEDS,Bulky Items,PARKING METER REQUES,Noise - Residential,Bulky Items,Trash,Potholes,Schedule a Bulk Item Pickup,Pothole,Code Enforcement General Request
"Tall grass/weeds, private prop",Maintenance Residential or Commercial,DAMAGE GARB CART,General Cleaning,STREETLIGHT REPAIR,HEAT/HOT WATER,Graffiti Removal,Property Violations,Weeds/Debris,Requests for Street Cleaning,Abandoned Vehicle,Street Light
"Trash, request for collection",Rubbish/Recyclable Material Collection,TRASH PVT PROP,request_for_service,POTHOLES,Illegal Parking,Metal/Household Appliances,Animal,Building Maintenance,Request for Snow Plowing,Graffiti,Trash/Garbage Pickup
"Pothole, repair",Illegal Dumping,EXTERIOR VIOL,Human Waste,TREE INSPECTION,Blocked Driveway,Illegal Dumping Pickup,Water Leak,Refuse Violations,Parking Enforcement,Other,Abandoned Vehicle Reporting/Removal
"Building, residential",Abandoned Vehicle,STREET POTHOLE,customer_callback,SIDEWALK REPAIR,Street Condition,Electronic Waste,Trash / Recycling,Abandoned Vehicle (parked on street),Request for Pothole Repair,Illegal Dumping,Residential Recycling Programs
"Litter, private property",Directory Assistance,GARBAGE MISSED,Graffiti on Pole,TREE PRUNING,Street Light Condition,Homeless Encampment,Trees,Missed Pick Up,Pothole Repair (Internal),Street Light,Large Item Trash/Garbage Pickup
"Yard waste,rtc",Graffiti Removal,ABANDON VEHICLE,Encampment Reports,TREE PLANTING,UNSANITARY CONDITION,Dead Animal Removal,Nuisance Violations,Building Without a Permit,Street Light Outages,Traffic Signal,Pothole/Roadway Surface Repair
"Tires, Special Collection",Street Defect,DEAD ANIMAL,Graffiti on Building_commercial,ROADWAY SIGN,Noise - Street/Sidewalk,Other,Animals / Pets,Replace/Repair a Sign,Sidewalk Repair (Make Safe),Sidewalk,General Service Request
"Graffiti, removal",Street Light Outage,MISCELLANEOUS,Damaged Parking_Meter,TREE REMOVAL,Water System,Single Streetlight Issue,Property / Buildings / Construction,Litter,Schedule Bulk Item Pickup,Traffic Sign,Illegal Dumping Reporting
Dead animal,Vacant Lot Clean-Up,RECYCLE BINS,Abandoned Vehicle - Car4door,ALLEYLIGHT REPAIR,Noise,Multiple Streetlight Issue,Bulky Appointment,Snow/Ice removal,Tree Maintenance Requests,Tree Hazard,Street Flooding/Drainage
"Trash, improper set out",Vacant House or Commercial,STOLEN GARB CART,Graffiti on Building_other,TRAFFIC SIGNAL MAIN,PAINT/PLASTER,Report Water Waste,Public Works,Overgrowth,Sign Repair,Curb,Tree Service
"Building, concentratd code enf",Salting,VEHICLE PVT PROP,Pavement_Defect,SIGN REPLACE,PLUMBING,Feedback,Property & Nuisance Violations,Illegal Parking,Unsatisfactory Living Conditions,Storm Drain,Catch Basin Maintenance
"Recycling, new 96 gallon cart",Sanitation / Dumpster Violation,ILLEGAL DUMPING,complaint,STREET REPAIR,Noise - Commercial,,Snow & Ice,Street Light - Repair,Request for Recycling Cart,Street Sweeping,Traffic Sign
"Trash cart, registration",Street Trees,INTERIOR VIOL,MUNI - Conduct_Inattentiveness_Negligence,ALLEY REPAIR,Traffic Signal Condition,,Street Light,Paving Request,Graffiti Removal,Faded striping,Traffic Signal
"Slippery streets, request",Traffic Signal Emergency,LIGHTING REPAIR,Streetlight - Light_Burnt_Out,SIGN NEW,Sewer,,Sewer,Pruning (city tree),Abandoned Vehicles,Dead Animal,Rodent Complaint
"Trash cart, swap 95 gallon",Building Dangerous,VAP STRUC WEEDS,Sewage_back_up,UTILITY REPAIR,DOF Literature Request,,Vehicle,City Source (CDBG),Pick up Dead Animal,Street Flooded,Sidewalk Repair
"Sign, down/missing ",Construction Site Task Force,SIGNAGE REPAIR,Hazardous Materials,CURB GUTTER REPAIR,Sanitation Condition,,Water,Referral,Rodent Activity,Damaged Guardrail,Subsidence
"Building, fire escape insp",Smoke Detector,TRAF SIGNAL REPR,Abandoned Vehicle - Other,BICYCLES,Rodent,,Mowing / Weeds,Request New Sign,CE Collection,Parking Meter,Mosquito Control
"Signal, traf/ped/school repair",Building Construction,NEW RECYCLE CART,Plumbing,ROADWAY LIGHTING ,Dirty Conditions,,Streets / Roadways / Alleys,Rodent control,Improper Storage of Trash (Barrels),Illegal discharge,Tree Service Emergency
"Default, police (and junk veh)",Other (Streets),YARD WASTE MISS,MUNI - Services_Service_Delivery_Facilities,SIGN MISSING,DOOR/WINDOW,,Storm Water / Sewer,Illegal Dumping,Building Inspection Request,Over Irrigation,Street Name Sign
"Building, vacant and open res ",Zoning Business,OVERGROWTH,Graffiti on Building_residential,TRAFFIC SIGNAL ISSUE,Derelict Vehicle,,Storm Water,Leak,Sticker Request,,Dead Animal Pickup
"Trash cart, new 65 gallon",Miscellaneous,TRAFFIC CONCERN,Graffiti on Other_enter_additional_details_below,ROADWAY REPAIR,WATER LEAK,,Pothole,Street Cleaning/Sweeping,Traffic Signal Repair,,Tree Maintenance
"Trash, tagged collections",Alley Light Outage,RECYCLING MISSED,Graffiti on Signal_box,SIGN REMOVAL,Missed Collection (All Materials),,Weeds,Vacant Building,Traffic Signal Inspection,,Manhole Cover Maintenance
Annual - c annual insp,Fire Residential or Commercial,JUNK VIOLATION,Abandoned Vehicles,TRAFFIC CALMING,Derelict Vehicles,,Vehicles / Parking,Traffic,Unshoveled Sidewalk,,Road Shoulder Repair
Street cleaning,Inlet Cleaning,STREET HAZARD,Sidewalk_Defect,MARKING MAINTENANCE,General Construction/Plumbing,,Street Sign,Dead Animal,New Tree Requests,,Grass Service
"Mold, building or apartment",Dangerous Sidewalk,PARK MAINTAIN,Abandoned Vehicle - Car2door,TRAFFIC SAFETY,Noise - Vehicle,,Maintenance,"Catch Basin, Clogged",Animal Generic Request,,Road Surface Marking
"Recycling, request to collect",Traffic (Other),ZONING CONCERNS,Graffiti on Sidewalk_in_front_of_property,ROADWAY MARKINGS,Building/Use,,Lights / Signals,Patrol,Empty Litter Basket,,Non Rodent Complaint
"Dumping, prv prop <2500 sq ft",Parks and Rec Safety and Maintenance,MOSQUITOS,Encampment items,RESIDENT PARKING PER,ELECTRIC,,Signal,"Traffic or Pedestrian Signal, Repair",Tree Emergencies,,NORDC Park Maintenance
"Recycling, new 64 gallon cart",License Residential,SIDEWALK REPAIR,Graffiti on Mail_box,BUS AND/OR RAIL ISSU,GENERAL,,Signs,Sidewalk Obstruction,Sidewalk Repair,,Curb Repair
